claim_type,requested_amount,evidence_available,evidence_count,previous_refund_count,previous_refund_amount,account_age_days,previous_support_decisions,previous_support_approvals,previous_support_evidence_requests,previous_support_escalations,time_since_previous_request_hours,support_decision,episode_id,customer_id,sequence_number,timestamp,request_id,order_id,claim_text,evidence_types,reason_code,approved_amount,requires_followup,previous_support_denials
WRONG_ITEM_CLAIM,3944.48,True,1,0,674.43,959,0,0,0,0,999.0,APPROVE,EPISODE_00002,CUSTOMER_0002,1,2026-01-14 05:29:00,POLICY_REQUEST_0000011,ORDER_000009,Customer reports a wrong_item_claim.,package_photo,ELIGIBLE,3944.48,False,0
NON_DELIVERY_CLAIM,6118.99,False,0,0,674.43,959,1,1,0,0,108.3,REQUEST_EVIDENCE,EPISODE_00002,CUSTOMER_0002,2,2026-01-18 17:47:00,POLICY_REQUEST_0000012,ORDER_000010,Customer reports a non_delivery_claim.,,DELIVERY_CONTRADICTION,0.0,True,0
SUBSTITUTED_RETURN_CLAIM,6990.18,True,1,0,674.43,959,2,1,1,0,3.6,ESCALATE,EPISODE_00002,CUSTOMER_0002,3,2026-01-18 21:23:00,POLICY_REQUEST_0000013,ORDER_000012,Customer reports a substituted_return_claim.,return_receipt,HIGH_VALUE_CASE,0.0,True,0
SHORTAGE_CLAIM,4745.95,False,0,0,674.43,959,3,1,1,1,13.633333333333333,REQUEST_EVIDENCE,EPISODE_00002,CUSTOMER_0002,4,2026-01-19 11:01:00,POLICY_REQUEST_0000014,ORDER_000009,Customer reports a shortage_claim.,,INSUFFICIENT_EVIDENCE,0.0,True,0
SUBSTITUTED_RETURN_CLAIM,6046.83,True,1,0,674.43,959,4,1,2,1,4.4,ESCALATE,EPISODE_00002,CUSTOMER_0002,5,2026-01-19 15:25:00,POLICY_REQUEST_0000015,ORDER_000012,Customer reports a substituted_return_claim.,return_receipt,HIGH_VALUE_CASE,0.0,True,0
NON_DELIVERY_CLAIM,1934.77,False,0,0,674.43,959,5,1,2,2,9.483333333333333,REQUEST_EVIDENCE,EPISODE_00002,CUSTOMER_0002,6,2026-01-20 00:54:00,POLICY_REQUEST_0000016,ORDER_000011,Customer reports a non_delivery_claim.,,DELIVERY_CONTRADICTION,0.0,True,0
SHORTAGE_CLAIM,5020.05,True,1,0,674.43,959,6,1,3,2,6.0,ESCALATE,EPISODE_00002,CUSTOMER_0002,7,2026-01-20 06:54:00,POLICY_REQUEST_0000017,ORDER_000010,Customer reports a shortage_claim.,delivery_photo,HIGH_VALUE_CASE,0.0,True,0
NON_DELIVERY_CLAIM,648.15,True,1,0,674.43,959,7,1,3,3,2.466666666666667,APPROVE,EPISODE_00002,CUSTOMER_0002,8,2026-01-20 09:22:00,POLICY_REQUEST_0000018,ORDER_000009,Customer reports a non_delivery_claim.,delivery_evidence,ELIGIBLE,648.15,False,0
SHORTAGE_CLAIM,7594.38,False,0,0,674.43,959,8,2,3,3,137.45,REQUEST_EVIDENCE,EPISODE_00002,CUSTOMER_0002,9,2026-01-26 02:49:00,POLICY_REQUEST_0000019,ORDER_000010,Customer reports a shortage_claim.,,INSUFFICIENT_EVIDENCE,0.0,True,0
SUBSTITUTED_RETURN_CLAIM,2027.67,False,0,0,674.43,959,9,2,4,3,18.9,REQUEST_EVIDENCE,EPISODE_00002,CUSTOMER_0002,10,2026-01-26 21:43:00,POLICY_REQUEST_0000020,ORDER_000010,Customer reports a substituted_return_claim.,,INSUFFICIENT_EVIDENCE,0.0,True,0
NON_DELIVERY_CLAIM,1938.1,True,1,0,1406.09,335,0,0,0,0,999.0,APPROVE,EPISODE_00003,CUSTOMER_0003,1,2026-01-17 23:07:00,POLICY_REQUEST_0000021,ORDER_000014,Customer reports a non_delivery_claim.,delivery_evidence,ELIGIBLE,1938.1,False,0
WRONG_ITEM_CLAIM,1521.03,False,0,0,1406.09,335,1,1,0,0,17.5,REQUEST_EVIDENCE,EPISODE_00003,CUSTOMER_0003,2,2026-01-18 16:37:00,POLICY_REQUEST_0000022,ORDER_000014,Customer reports a wrong_item_claim.,,INSUFFICIENT_EVIDENCE,0.0,True,0
SHORTAGE_CLAIM,710.2,False,0,0,1406.09,335,2,1,1,0,18.033333333333335,REQUEST_EVIDENCE,EPISODE_00003,CUSTOMER_0003,3,2026-01-19 10:39:00,POLICY_REQUEST_0000023,ORDER_000013,Customer reports a shortage_claim.,,INSUFFICIENT_EVIDENCE,0.0,True,0
NON_DELIVERY_CLAIM,4156.04,True,1,0,1406.09,335,3,1,2,0,136.95,APPROVE,EPISODE_00003,CUSTOMER_0003,4,2026-01-25 03:36:00,POLICY_REQUEST_0000024,ORDER_000014,Customer reports a non_delivery_claim.,delivery_evidence,ELIGIBLE,4156.04,False,0
SUBSTITUTED_RETURN_CLAIM,809.5,True,1,0,1406.09,335,4,2,2,0,14.95,APPROVE,EPISODE_00003,CUSTOMER_0003,5,2026-01-25 18:33:00,POLICY_REQUEST_0000025,ORDER_000014,Customer reports a substituted_return_claim.,return_receipt,ELIGIBLE,809.5,False,0
SUBSTITUTED_RETURN_CLAIM,397.0,False,0,0,1406.09,335,5,3,2,0,4.216666666666667,REQUEST_EVIDENCE,EPISODE_00003,CUSTOMER_0003,6,2026-01-25 22:46:00,POLICY_REQUEST_0000026,ORDER_000016,Customer reports a substituted_return_claim.,,INSUFFICIENT_EVIDENCE,0.0,True,0
WRONG_ITEM_CLAIM,3474.4,False,0,0,1406.09,335,6,3,3,0,16.283333333333335,REQUEST_EVIDENCE,EPISODE_00003,CUSTOMER_0003,7,2026-01-26 15:03:00,POLICY_REQUEST_0000027,ORDER_000014,Customer reports a wrong_item_claim.,,INSUFFICIENT_EVIDENCE,0.0,True,0
SHORTAGE_CLAIM,836.45,True,1,0,1406.09,335,7,3,4,0,1.0,APPROVE,EPISODE_00003,CUSTOMER_0003,8,2026-01-26 16:03:00,POLICY_REQUEST_0000028,ORDER_000014,Customer reports a shortage_claim.,delivery_photo,ELIGIBLE,836.45,False,0
WRONG_ITEM_CLAIM,7017.07,False,0,0,1406.09,335,8,4,4,0,2.5,REQUEST_EVIDENCE,EPISODE_00003,CUSTOMER_0003,9,2026-01-26 18:33:00,POLICY_REQUEST_0000029,ORDER_000013,Customer reports a wrong_item_claim.,,INSUFFICIENT_EVIDENCE,0.0,True,0
SUBSTITUTED_RETURN_CLAIM,5695.32,False,0,0,1406.09,335,9,4,5,0,14.933333333333334,REQUEST_EVIDENCE,EPISODE_00003,CUSTOMER_0003,10,2026-01-27 09:29:00,POLICY_REQUEST_0000030,ORDER_000014,Customer reports a substituted_return_claim.,,INSUFFICIENT_EVIDENCE,0.0,True,0
WRONG_ITEM_CLAIM,1717.7,False,0,0,2668.27,652,0,0,0,0,999.0,REQUEST_EVIDENCE,EPISODE_00004,CUSTOMER_0004,1,2026-01-03 03:47:00,POLICY_REQUEST_0000031,ORDER_000021,Customer reports a wrong_item_claim.,,INSUFFICIENT_EVIDENCE,0.0,True,0
NON_DELIVERY_CLAIM,2405.28,False,0,0,2668.27,652,1,0,1,0,357.3833333333333,REQUEST_EVIDENCE,EPISODE_00004,CUSTOMER_0004,2,2026-01-18 01:10:00,POLICY_REQUEST_0000032,ORDER_000018,Customer reports a non_delivery_claim.,,DELIVERY_CONTRADICTION,0.0,True,0
WRONG_ITEM_CLAIM,368.19,False,0,0,2668.27,652,2,0,2,0,255.25,REQUEST_EVIDENCE,EPISODE_00004,CUSTOMER_0004,3,2026-01-28 16:25:00,POLICY_REQUEST_0000033,ORDER_000018,Customer reports a wrong_item_claim.,,INSUFFICIENT_EVIDENCE,0.0,True,0
SHORTAGE_CLAIM,7235.99,False,0,0,2668.27,652,3,0,3,0,9.4,REQUEST_EVIDENCE,EPISODE_00004,CUSTOMER_0004,4,2026-01-29 01:49:00,POLICY_REQUEST_0000034,ORDER_000019,Customer reports a shortage_claim.,,INSUFFICIENT_EVIDENCE,0.0,True,0
NON_DELIVERY_CLAIM,1895.79,False,0,0,2668.27,652,4,0,4,0,16.1,REQUEST_EVIDENCE,EPISODE_00004,CUSTOMER_0004,5,2026-01-29 17:55:00,POLICY_REQUEST_0000035,ORDER_000019,Customer reports a non_delivery_claim.,,DELIVERY_CONTRADICTION,0.0,True,0
SHORTAGE_CLAIM,3288.68,False,0,0,2668.27,652,5,0,5,0,3.0,DENY,EPISODE_00004,CUSTOMER_0004,6,2026-01-29 20:55:00,POLICY_REQUEST_0000036,ORDER_000020,Customer reports a shortage_claim.,,ORDER_CONTRADICTION,0.0,False,0
NON_DELIVERY_CLAIM,2380.86,False,0,0,2668.27,652,6,0,5,0,10.216666666666667,REQUEST_EVIDENCE,EPISODE_00004,CUSTOMER_0004,7,2026-01-30 07:08:00,POLICY_REQUEST_0000037,ORDER_000019,Customer reports a non_delivery_claim.,,DELIVERY_CONTRADICTION,0.0,True,1
SUBSTITUTED_RETURN_CLAIM,8267.36,True,1,0,2668.27,652,7,0,6,0,0.7666666666666667,ESCALATE,EPISODE_00004,CUSTOMER_0004,8,2026-01-30 07:54:00,POLICY_REQUEST_0000038,ORDER_000019,Customer reports a substituted_return_claim.,return_receipt,HIGH_VALUE_CASE,0.0,True,1
SHORTAGE_CLAIM,1615.43,False,0,0,2668.27,652,8,0,6,1,5.8,DENY,EPISODE_00004,CUSTOMER_0004,9,2026-01-30 13:42:00,POLICY_REQUEST_0000039,ORDER_000020,Customer reports a shortage_claim.,,ORDER_CONTRADICTION,0.0,False,1
NON_DELIVERY_CLAIM,1703.6,False,0,0,2668.27,652,9,0,6,1,17.166666666666668,REQUEST_EVIDENCE,EPISODE_00004,CUSTOMER_0004,10,2026-01-31 06:52:00,POLICY_REQUEST_0000040,ORDER_000020,Customer reports a non_delivery_claim.,,DELIVERY_CONTRADICTION,0.0,True,2
SHORTAGE_CLAIM,4401.83,False,0,0,2289.33,690,0,0,0,0,999.0,REQUEST_EVIDENCE,EPISODE_00005,CUSTOMER_0005,1,2026-01-27 17:02:00,POLICY_REQUEST_0000041,ORDER_000026,Customer reports a shortage_claim.,,INSUFFICIENT_EVIDENCE,0.0,True,0
NON_DELIVERY_CLAIM,252.89,False,0,0,2289.33,690,1,0,1,0,15.083333333333334,REQUEST_EVIDENCE,EPISODE_00005,CUSTOMER_0005,2,2026-01-28 08:07:00,POLICY_REQUEST_0000042,ORDER_000022,Customer reports a non_delivery_claim.,,DELIVERY_CONTRADICTION,0.0,True,0
SHORTAGE_CLAIM,4730.75,False,0,0,2289.33,690,2,0,2,0,1.7166666666666666,DENY,EPISODE_00005,CUSTOMER_0005,3,2026-01-28 09:50:00,POLICY_REQUEST_0000043,ORDER_000030,Customer reports a shortage_claim.,,ORDER_CONTRADICTION,0.0,False,0
WRONG_ITEM_CLAIM,216.13,True,1,0,2289.33,690,3,0,2,0,12.7,APPROVE,EPISODE_00005,CUSTOMER_0005,4,2026-01-28 22:32:00,POLICY_REQUEST_0000044,ORDER_000027,Customer reports a wrong_item_claim.,package_photo,ELIGIBLE,216.13,False,1
WRONG_ITEM_CLAIM,2280.12,False,0,0,2289.33,690,4,1,2,0,24.116666666666667,REQUEST_EVIDENCE,EPISODE_00005,CUSTOMER_0005,5,2026-01-29 22:39:00,POLICY_REQUEST_0000045,ORDER_000025,Customer reports a wrong_item_claim.,,INSUFFICIENT_EVIDENCE,0.0,True,1
WRONG_ITEM_CLAIM,5004.32,False,0,0,2289.33,690,5,1,3,0,14.55,REQUEST_EVIDENCE,EPISODE_00005,CUSTOMER_0005,6,2026-01-30 13:12:00,POLICY_REQUEST_0000046,ORDER_000025,Customer reports a wrong_item_claim.,,INSUFFICIENT_EVIDENCE,0.0,True,1
NON_DELIVERY_CLAIM,1974.45,False,0,0,2289.33,690,6,1,4,0,7.3,REQUEST_EVIDENCE,EPISODE_00005,CUSTOMER_0005,7,2026-01-30 20:30:00,POLICY_REQUEST_0000047,ORDER_000025,Customer reports a non_delivery_claim.,,DELIVERY_CONTRADICTION,0.0,True,1
NON_DELIVERY_CLAIM,2284.43,True,1,0,2289.33,690,7,1,5,0,11.7,APPROVE,EPISODE_00005,CUSTOMER_0005,8,2026-01-31 08:12:00,POLICY_REQUEST_0000048,ORDER_000029,Customer reports a non_delivery_claim.,delivery_evidence,ELIGIBLE,2284.43,False,1
SHORTAGE_CLAIM,2141.48,True,1,0,2289.33,690,8,2,5,0,18.8,APPROVE,EPISODE_00005,CUSTOMER_0005,9,2026-02-01 03:00:00,POLICY_REQUEST_0000049,ORDER_000026,Customer reports a shortage_claim.,delivery_photo,ELIGIBLE,2141.48,False,1
SHORTAGE_CLAIM,1678.57,False,0,0,2289.33,690,9,3,5,0,20.85,REQUEST_EVIDENCE,EPISODE_00005,CUSTOMER_0005,10,2026-02-01 23:51:00,POLICY_REQUEST_0000050,ORDER_000027,Customer reports a shortage_claim.,,INSUFFICIENT_EVIDENCE,0.0,True,1
NON_DELIVERY_CLAIM,6556.31,True,1,2,1410.03,388,0,0,0,0,999.0,ESCALATE,EPISODE_00006,CUSTOMER_0006,1,2026-01-17 12:24:00,POLICY_REQUEST_0000051,ORDER_000032,Customer reports a non_delivery_claim.,delivery_evidence,HIGH_VALUE_CASE,0.0,True,0
WRONG_ITEM_CLAIM,3573.05,True,1,2,1410.03,388,1,0,0,1,18.866666666666667,APPROVE,EPISODE_00006,CUSTOMER_0006,2,2026-01-18 07:16:00,POLICY_REQUEST_0000052,ORDER_000033,Customer reports a wrong_item_claim.,package_photo,ELIGIBLE,3573.05,False,0
WRONG_ITEM_CLAIM,5315.55,True,1,2,1410.03,388,2,1,0,1,108.38333333333334,ESCALATE,EPISODE_00006,CUSTOMER_0006,3,2026-01-22 19:39:00,POLICY_REQUEST_0000053,ORDER_000033,Customer reports a wrong_item_claim.,package_photo,HIGH_VALUE_CASE,0.0,True,0
SHORTAGE_CLAIM,3010.24,True,1,2,1410.03,388,3,1,0,2,10.583333333333334,APPROVE,EPISODE_00006,CUSTOMER_0006,4,2026-01-23 06:14:00,POLICY_REQUEST_0000054,ORDER_000033,Customer reports a shortage_claim.,delivery_photo,ELIGIBLE,3010.24,False,0
WRONG_ITEM_CLAIM,7998.55,False,0,2,1410.03,388,4,2,0,2,6.433333333333334,REQUEST_EVIDENCE,EPISODE_00006,CUSTOMER_0006,5,2026-01-23 12:40:00,POLICY_REQUEST_0000055,ORDER_000033,Customer reports a wrong_item_claim.,,INSUFFICIENT_EVIDENCE,0.0,True,0
NON_DELIVERY_CLAIM,7945.0,True,1,2,1410.03,388,5,2,1,2,15.166666666666666,ESCALATE,EPISODE_00006,CUSTOMER_0006,6,2026-01-24 03:50:00,POLICY_REQUEST_0000056,ORDER_000033,Customer reports a non_delivery_claim.,delivery_evidence,HIGH_VALUE_CASE,0.0,True,0
NON_DELIVERY_CLAIM,6993.95,True,1,2,1410.03,388,6,2,1,3,6.283333333333333,ESCALATE,EPISODE_00006,CUSTOMER_0006,7,2026-01-24 10:07:00,POLICY_REQUEST_0000057,ORDER_000033,Customer reports a non_delivery_claim.,delivery_evidence,HIGH_VALUE_CASE,0.0,True,0
SHORTAGE_CLAIM,6346.58,True,1,2,1410.03,388,7,2,1,4,8.516666666666667,ESCALATE,EPISODE_00006,CUSTOMER_0006,8,2026-01-24 18:38:00,POLICY_REQUEST_0000058,ORDER_000033,Customer reports a shortage_claim.,delivery_photo,HIGH_VALUE_CASE,0.0,True,0
NON_DELIVERY_CLAIM,1486.54,False,0,2,1410.03,388,8,2,1,5,21.35,REQUEST_EVIDENCE,EPISODE_00006,CUSTOMER_0006,9,2026-01-25 15:59:00,POLICY_REQUEST_0000059,ORDER_000033,Customer reports a non_delivery_claim.,,DELIVERY_CONTRADICTION,0.0,True,0
SUBSTITUTED_RETURN_CLAIM,527.93,True,1,2,1410.03,388,9,2,2,5,14.133333333333333,APPROVE,EPISODE_00006,CUSTOMER_0006,10,2026-01-26 06:07:00,POLICY_REQUEST_0000060,ORDER_000031,Customer reports a substituted_return_claim.,return_receipt,ELIGIBLE,527.93,False,0
WRONG_ITEM_CLAIM,512.31,False,0,0,2835.58,866,0,0,0,0,999.0,REQUEST_EVIDENCE,EPISODE_00007,CUSTOMER_0007,1,2026-01-08 14:51:00,POLICY_REQUEST_0000061,ORDER_000037,Customer reports a wrong_item_claim.,,INSUFFICIENT_EVIDENCE,0.0,True,0
SUBSTITUTED_RETURN_CLAIM,669.4,False,0,0,2835.58,866,1,0,1,0,477.6333333333333,REQUEST_EVIDENCE,EPISODE_00007,CUSTOMER_0007,2,2026-01-28 12:29:00,POLICY_REQUEST_0000062,ORDER_000042,Customer reports a substituted_return_claim.,,INSUFFICIENT_EVIDENCE,0.0,True,0
NON_DELIVERY_CLAIM,6362.44,True,1,0,2835.58,866,2,0,2,0,36.96666666666667,ESCALATE,EPISODE_00007,CUSTOMER_0007,3,2026-01-30 01:27:00,POLICY_REQUEST_0000063,ORDER_000041,Customer reports a non_delivery_claim.,delivery_evidence,HIGH_VALUE_CASE,0.0,True,0
WRONG_ITEM_CLAIM,5721.57,True,1,0,2835.58,866,3,0,2,1,18.283333333333335,ESCALATE,EPISODE_00007,CUSTOMER_0007,4,2026-01-30 19:44:00,POLICY_REQUEST_0000064,ORDER_000041,Customer reports a wrong_item_claim.,package_photo,HIGH_VALUE_CASE,0.0,True,0
WRONG_ITEM_CLAIM,5215.71,True,1,0,2835.58,866,4,0,2,2,11.95,ESCALATE,EPISODE_00007,CUSTOMER_0007,5,2026-01-31 07:41:00,POLICY_REQUEST_0000065,ORDER_000041,Customer reports a wrong_item_claim.,package_photo,HIGH_VALUE_CASE,0.0,True,0
SHORTAGE_CLAIM,828.46,False,0,0,2835.58,866,5,0,2,3,7.8,DENY,EPISODE_00007,CUSTOMER_0007,6,2026-01-31 15:29:00,POLICY_REQUEST_0000066,ORDER_000039,Customer reports a shortage_claim.,,ORDER_CONTRADICTION,0.0,False,0
SUBSTITUTED_RETURN_CLAIM,2042.61,True,1,0,2835.58,866,6,0,2,3,14.833333333333334,APPROVE,EPISODE_00007,CUSTOMER_0007,7,2026-02-01 06:19:00,POLICY_REQUEST_0000067,ORDER_000035,Customer reports a substituted_return_claim.,return_receipt,ELIGIBLE,2042.61,False,1
SHORTAGE_CLAIM,5008.06,True,1,0,2835.58,866,7,1,2,3,13.8,ESCALATE,EPISODE_00007,CUSTOMER_0007,8,2026-02-01 20:07:00,POLICY_REQUEST_0000068,ORDER_000040,Customer reports a shortage_claim.,delivery_photo,HIGH_VALUE_CASE,0.0,True,1
WRONG_ITEM_CLAIM,1810.58,True,1,0,2835.58,866,8,1,2,4,11.966666666666667,APPROVE,EPISODE_00007,CUSTOMER_0007,9,2026-02-02 08:05:00,POLICY_REQUEST_0000069,ORDER_000040,Customer reports a wrong_item_claim.,package_photo,ELIGIBLE,1810.58,False,1
WRONG_ITEM_CLAIM,6246.51,True,1,0,2835.58,866,9,2,2,4,13.933333333333334,ESCALATE,EPISODE_00007,CUSTOMER_0007,10,2026-02-02 22:01:00,POLICY_REQUEST_0000070,ORDER_000040,Customer reports a wrong_item_claim.,package_photo,HIGH_VALUE_CASE,0.0,True,1
SHORTAGE_CLAIM,5652.87,False,0,1,5603.62,1156,0,0,0,0,999.0,REQUEST_EVIDENCE,EPISODE_00008,CUSTOMER_0008,1,2026-01-15 14:03:00,POLICY_REQUEST_0000071,ORDER_000047,Customer reports a shortage_claim.,,INSUFFICIENT_EVIDENCE,0.0,True,0
SUBSTITUTED_RETURN_CLAIM,2123.36,True,1,1,5603.62,1156,1,0,1,0,14.883333333333333,APPROVE,EPISODE_00008,CUSTOMER_0008,2,2026-01-16 04:56:00,POLICY_REQUEST_0000072,ORDER_000045,Customer reports a substituted_return_claim.,return_receipt,ELIGIBLE,2123.36,False,0
SHORTAGE_CLAIM,3433.07,True,1,1,5603.62,1156,2,1,1,0,22.683333333333334,DENY,EPISODE_00008,CUSTOMER_0008,3,2026-01-17 03:37:00,POLICY_REQUEST_0000073,ORDER_000045,Customer reports a shortage_claim.,delivery_photo,ORDER_CONTRADICTION,0.0,False,0
SHORTAGE_CLAIM,2059.56,False,0,1,5603.62,1156,3,1,1,0,8.633333333333333,DENY,EPISODE_00008,CUSTOMER_0008,4,2026-01-17 12:15:00,POLICY_REQUEST_0000074,ORDER_000043,Customer reports a shortage_claim.,,ORDER_CONTRADICTION,0.0,False,1
SUBSTITUTED_RETURN_CLAIM,1670.25,False,0,1,5603.62,1156,4,1,1,0,13.083333333333334,REQUEST_EVIDENCE,EPISODE_00008,CUSTOMER_0008,5,2026-01-18 01:20:00,POLICY_REQUEST_0000075,ORDER_000044,Customer reports a substituted_return_claim.,,INSUFFICIENT_EVIDENCE,0.0,True,2
SHORTAGE_CLAIM,1527.76,False,0,1,5603.62,1156,5,1,2,0,23.616666666666667,DENY,EPISODE_00008,CUSTOMER_0008,6,2026-01-19 00:57:00,POLICY_REQUEST_0000076,ORDER_000044,Customer reports a shortage_claim.,,ORDER_CONTRADICTION,0.0,False,2
SUBSTITUTED_RETURN_CLAIM,2476.3,False,0,1,5603.62,1156,6,1,2,0,220.3,REQUEST_EVIDENCE,EPISODE_00008,CUSTOMER_0008,7,2026-01-28 05:15:00,POLICY_REQUEST_0000077,ORDER_000046,Customer reports a substituted_return_claim.,,INSUFFICIENT_EVIDENCE,0.0,True,3
SHORTAGE_CLAIM,2032.75,False,0,1,5603.62,1156,7,1,3,0,17.766666666666666,DENY,EPISODE_00008,CUSTOMER_0008,8,2026-01-28 23:01:00,POLICY_REQUEST_0000078,ORDER_000045,Customer reports a shortage_claim.,,ORDER_CONTRADICTION,0.0,False,3
SHORTAGE_CLAIM,4549.88,True,1,1,5603.62,1156,8,1,3,0,22.183333333333334,DENY,EPISODE_00008,CUSTOMER_0008,9,2026-01-29 21:12:00,POLICY_REQUEST_0000079,ORDER_000045,Customer reports a shortage_claim.,delivery_photo,ORDER_CONTRADICTION,0.0,False,4
WRONG_ITEM_CLAIM,3044.98,True,1,1,5603.62,1156,9,1,3,0,18.866666666666667,APPROVE,EPISODE_00008,CUSTOMER_0008,10,2026-01-30 16:04:00,POLICY_REQUEST_0000080,ORDER_000046,Customer reports a wrong_item_claim.,package_photo,ELIGIBLE,3044.98,False,5
SUBSTITUTED_RETURN_CLAIM,1134.39,True,1,1,610.67,1141,0,0,0,0,999.0,APPROVE,EPISODE_00009,CUSTOMER_0009,1,2026-01-28 16:53:00,POLICY_REQUEST_0000081,ORDER_000049,Customer reports a substituted_return_claim.,return_receipt,ELIGIBLE,1134.39,False,0
NON_DELIVERY_CLAIM,4035.28,True,1,1,610.67,1141,1,1,0,0,13.433333333333334,APPROVE,EPISODE_00009,CUSTOMER_0009,2,2026-01-29 06:19:00,POLICY_REQUEST_0000082,ORDER_000048,Customer reports a non_delivery_claim.,delivery_evidence,ELIGIBLE,4035.28,False,0
SHORTAGE_CLAIM,1681.84,True,1,1,610.67,1141,2,2,0,0,9.316666666666666,APPROVE,EPISODE_00009,CUSTOMER_0009,3,2026-01-29 15:38:00,POLICY_REQUEST_0000083,ORDER_000049,Customer reports a shortage_claim.,delivery_photo,ELIGIBLE,1681.84,False,0
NON_DELIVERY_CLAIM,139.12,True,1,1,610.67,1141,3,3,0,0,14.366666666666667,APPROVE,EPISODE_00009,CUSTOMER_0009,4,2026-01-30 06:00:00,POLICY_REQUEST_0000084,ORDER_000049,Customer reports a non_delivery_claim.,delivery_evidence,ELIGIBLE,139.12,False,0
WRONG_ITEM_CLAIM,3953.97,True,1,1,610.67,1141,4,4,0,0,10.533333333333333,APPROVE,EPISODE_00009,CUSTOMER_0009,5,2026-01-30 16:32:00,POLICY_REQUEST_0000085,ORDER_000049,Customer reports a wrong_item_claim.,package_photo,ELIGIBLE,3953.97,False,0
SUBSTITUTED_RETURN_CLAIM,2163.96,False,0,1,610.67,1141,5,5,0,0,18.616666666666667,REQUEST_EVIDENCE,EPISODE_00009,CUSTOMER_0009,6,2026-01-31 11:09:00,POLICY_REQUEST_0000086,ORDER_000048,Customer reports a substituted_return_claim.,,INSUFFICIENT_EVIDENCE,0.0,True,0
