claim_type,requested_amount,evidence_available,evidence_count,previous_refund_count,previous_refund_amount,account_age_days,previous_support_decisions,previous_support_approvals,previous_support_evidence_requests,previous_support_escalations,time_since_previous_request_hours,support_decision
WRONG_ITEM_CLAIM,1898.99,True,1,1,1334.76,1377,0,0,0,0,999.0,APPROVE
SHORTAGE_CLAIM,4325.91,True,1,0,1889.59,1192,0,0,0,0,999.0,DENY
WRONG_ITEM_CLAIM,447.87,False,0,2,2709.38,89,0,0,0,0,999.0,REQUEST_EVIDENCE
SHORTAGE_CLAIM,1570.86,False,0,2,7120.96,933,1,0,0,0,0.3000000638888889,REQUEST_EVIDENCE
WRONG_ITEM_CLAIM,1106.2,True,1,0,2065.5,1450,0,0,0,0,999.0,APPROVE
SUBSTITUTED_RETURN_CLAIM,4717.02,True,1,1,2189.88,1077,0,0,0,0,999.0,APPROVE
SUBSTITUTED_RETURN_CLAIM,6623.14,False,0,0,1899.72,471,0,0,0,0,999.0,REQUEST_EVIDENCE
SHORTAGE_CLAIM,8461.76,False,0,0,2000.03,857,0,0,0,0,999.0,REQUEST_EVIDENCE
WRONG_ITEM_CLAIM,3544.01,True,1,0,2881.03,120,0,0,0,0,999.0,APPROVE
SUBSTITUTED_RETURN_CLAIM,2376.54,False,0,0,1691.87,674,0,0,0,0,999.0,REQUEST_EVIDENCE
SHORTAGE_CLAIM,5910.55,False,0,1,2342.92,672,0,0,0,0,999.0,REQUEST_EVIDENCE
WRONG_ITEM_CLAIM,6700.89,False,0,0,2058.55,602,0,0,0,0,999.0,REQUEST_EVIDENCE
SHORTAGE_CLAIM,3863.08,True,1,0,206.29,871,0,0,0,0,999.0,APPROVE
NON_DELIVERY_CLAIM,7443.38,True,1,0,1382.98,1352,0,0,0,0,999.0,ESCALATE
NON_DELIVERY_CLAIM,1460.74,False,0,2,1147.44,996,0,0,0,0,999.0,REQUEST_EVIDENCE
SHORTAGE_CLAIM,2962.47,False,0,0,2579.39,1000,0,0,0,0,999.0,DENY
SHORTAGE_CLAIM,4794.44,False,0,0,1242.55,1295,0,0,0,0,999.0,REQUEST_EVIDENCE
WRONG_ITEM_CLAIM,5436.42,False,0,1,2916.22,1316,0,0,0,0,999.0,REQUEST_EVIDENCE
SHORTAGE_CLAIM,3954.36,True,1,4,5784.57,267,0,0,0,0,999.0,DENY
WRONG_ITEM_CLAIM,1738.69,True,1,2,7522.46,1124,0,0,0,0,999.0,APPROVE
SUBSTITUTED_RETURN_CLAIM,2429.02,False,0,0,1682.66,447,0,0,0,0,999.0,REQUEST_EVIDENCE
SHORTAGE_CLAIM,1957.84,True,1,2,1826.62,1154,0,0,0,0,999.0,APPROVE
SHORTAGE_CLAIM,3540.15,False,0,3,5731.08,1386,0,0,0,0,999.0,REQUEST_EVIDENCE
SHORTAGE_CLAIM,928.32,False,0,0,1889.59,1192,1,0,0,0,0.36666673944444444,DENY
NON_DELIVERY_CLAIM,791.58,False,0,1,2939.55,1211,0,0,0,0,999.0,REQUEST_EVIDENCE
WRONG_ITEM_CLAIM,1703.6,True,1,0,2517.67,1122,0,0,0,0,999.0,APPROVE
NON_DELIVERY_CLAIM,552.26,True,1,1,927.0,669,0,0,0,0,999.0,APPROVE
SHORTAGE_CLAIM,1734.43,False,0,0,586.22,1376,0,0,0,0,999.0,REQUEST_EVIDENCE
WRONG_ITEM_CLAIM,1032.78,True,1,1,2934.07,678,0,0,0,0,999.0,APPROVE
SHORTAGE_CLAIM,4730.75,False,0,1,2745.35,1213,0,0,0,0,999.0,REQUEST_EVIDENCE
NON_DELIVERY_CLAIM,5122.99,True,1,0,343.38,596,0,0,0,0,999.0,ESCALATE
NON_DELIVERY_CLAIM,2398.98,False,0,0,49.91,642,0,0,0,0,999.0,REQUEST_EVIDENCE
WRONG_ITEM_CLAIM,2999.2,True,1,0,2165.02,448,0,0,0,0,999.0,APPROVE
WRONG_ITEM_CLAIM,2406.18,False,0,2,4188.03,363,0,0,0,0,999.0,REQUEST_EVIDENCE
SHORTAGE_CLAIM,2790.31,True,1,1,1123.93,1255,0,0,0,0,999.0,DENY
WRONG_ITEM_CLAIM,1659.2,False,0,2,2281.54,322,0,0,0,0,999.0,REQUEST_EVIDENCE
SUBSTITUTED_RETURN_CLAIM,3912.16,True,1,0,15.09,1417,0,0,0,0,999.0,APPROVE
WRONG_ITEM_CLAIM,2926.84,False,0,0,1859.27,728,0,0,0,0,999.0,REQUEST_EVIDENCE
NON_DELIVERY_CLAIM,4837.76,True,1,0,416.9,1087,0,0,0,0,999.0,APPROVE
NON_DELIVERY_CLAIM,291.7,True,1,0,1065.42,998,0,0,0,0,999.0,APPROVE
NON_DELIVERY_CLAIM,355.42,True,1,1,237.06,334,0,0,0,0,999.0,APPROVE
NON_DELIVERY_CLAIM,5005.19,False,0,1,2608.25,1173,0,0,0,0,999.0,REQUEST_EVIDENCE
WRONG_ITEM_CLAIM,1544.39,True,1,0,202.09,1191,0,0,0,0,999.0,APPROVE
NON_DELIVERY_CLAIM,5222.47,True,1,0,674.43,959,0,0,0,0,999.0,ESCALATE
SHORTAGE_CLAIM,2007.12,True,1,1,212.1,313,0,0,0,0,999.0,DENY
NON_DELIVERY_CLAIM,220.54,True,1,1,2986.42,640,0,0,0,0,999.0,APPROVE
WRONG_ITEM_CLAIM,3146.14,True,1,0,1734.4,598,0,0,0,0,999.0,APPROVE
NON_DELIVERY_CLAIM,1710.18,True,1,1,2673.83,1413,0,0,0,0,999.0,APPROVE
SUBSTITUTED_RETURN_CLAIM,3466.48,False,0,2,5909.3,1434,0,0,0,0,999.0,REQUEST_EVIDENCE
NON_DELIVERY_CLAIM,1463.62,True,1,1,417.04,186,0,0,0,0,999.0,APPROVE
NON_DELIVERY_CLAIM,2580.31,False,0,1,189.3,1346,1,0,1,0,1.2666669333333334,REQUEST_EVIDENCE
WRONG_ITEM_CLAIM,4751.06,False,0,0,1715.77,542,0,0,0,0,999.0,REQUEST_EVIDENCE
WRONG_ITEM_CLAIM,5848.5,False,0,0,306.82,1305,0,0,0,0,999.0,REQUEST_EVIDENCE
SHORTAGE_CLAIM,5306.92,True,1,0,662.55,1435,0,0,0,0,999.0,ESCALATE
WRONG_ITEM_CLAIM,1803.71,True,1,1,3875.66,793,0,0,0,0,999.0,APPROVE
NON_DELIVERY_CLAIM,7977.41,True,1,1,4261.31,756,0,0,0,0,999.0,ESCALATE
SUBSTITUTED_RETURN_CLAIM,2769.03,True,1,1,2084.34,440,0,0,0,0,999.0,APPROVE
WRONG_ITEM_CLAIM,2265.81,True,1,0,779.42,664,0,0,0,0,999.0,APPROVE
NON_DELIVERY_CLAIM,5007.17,True,1,0,1004.79,1297,0,0,0,0,999.0,ESCALATE
NON_DELIVERY_CLAIM,2393.03,False,0,4,7019.74,1279,0,0,0,0,999.0,REQUEST_EVIDENCE
WRONG_ITEM_CLAIM,2483.67,False,0,0,2312.3,1117,0,0,0,0,999.0,REQUEST_EVIDENCE
SUBSTITUTED_RETURN_CLAIM,2042.61,True,1,0,504.4,1236,0,0,0,0,999.0,APPROVE
SUBSTITUTED_RETURN_CLAIM,5952.51,False,0,0,62.57,189,0,0,0,0,999.0,REQUEST_EVIDENCE
SUBSTITUTED_RETURN_CLAIM,5018.65,True,1,1,4498.6,91,0,0,0,0,999.0,ESCALATE
SUBSTITUTED_RETURN_CLAIM,3896.24,False,0,1,3901.1,1094,0,0,0,0,999.0,REQUEST_EVIDENCE
NON_DELIVERY_CLAIM,4278.14,True,1,1,2992.1,1135,0,0,0,0,999.0,APPROVE
WRONG_ITEM_CLAIM,2858.71,False,0,0,524.11,554,0,0,0,0,999.0,REQUEST_EVIDENCE
SHORTAGE_CLAIM,3249.47,False,0,0,1764.93,838,0,0,0,0,999.0,REQUEST_EVIDENCE
WRONG_ITEM_CLAIM,1374.77,True,1,0,2973.26,1233,0,0,0,0,999.0,APPROVE
NON_DELIVERY_CLAIM,2261.23,True,1,0,715.72,1294,1,1,0,0,1.383333612777778,APPROVE
NON_DELIVERY_CLAIM,696.57,False,0,0,2906.23,352,0,0,0,0,999.0,REQUEST_EVIDENCE
WRONG_ITEM_CLAIM,3928.04,False,0,1,352.04,374,0,0,0,0,999.0,REQUEST_EVIDENCE
WRONG_ITEM_CLAIM,2482.31,False,0,0,847.37,829,0,0,0,0,999.0,REQUEST_EVIDENCE
SUBSTITUTED_RETURN_CLAIM,2863.45,False,0,2,2801.77,520,0,0,0,0,999.0,REQUEST_EVIDENCE
NON_DELIVERY_CLAIM,3182.32,False,0,2,5909.3,1434,1,0,1,0,0.43333341999999997,REQUEST_EVIDENCE
WRONG_ITEM_CLAIM,612.57,False,0,0,1556.83,296,0,0,0,0,999.0,REQUEST_EVIDENCE
SUBSTITUTED_RETURN_CLAIM,7924.31,False,0,4,3057.04,1284,0,0,0,0,999.0,REQUEST_EVIDENCE
SHORTAGE_CLAIM,2350.29,False,0,0,1270.22,1347,0,0,0,0,999.0,REQUEST_EVIDENCE
SHORTAGE_CLAIM,2032.75,True,1,0,1222.48,265,0,0,0,0,999.0,DENY
SHORTAGE_CLAIM,8121.51,False,0,0,1662.95,146,0,0,0,0,999.0,DENY
SUBSTITUTED_RETURN_CLAIM,2804.05,True,1,3,2659.97,1410,0,0,0,0,999.0,APPROVE
SUBSTITUTED_RETURN_CLAIM,2404.38,True,1,0,1706.0,967,0,0,0,0,999.0,APPROVE
SHORTAGE_CLAIM,1662.75,False,0,0,2290.71,671,0,0,0,0,999.0,REQUEST_EVIDENCE
SUBSTITUTED_RETURN_CLAIM,1528.7,True,1,1,4698.16,1081,0,0,0,0,999.0,APPROVE
WRONG_ITEM_CLAIM,2297.83,True,1,2,7501.36,1447,0,0,0,0,999.0,APPROVE
SHORTAGE_CLAIM,3486.09,False,0,0,954.65,290,0,0,0,0,999.0,REQUEST_EVIDENCE
SUBSTITUTED_RETURN_CLAIM,1177.82,True,1,0,929.72,1056,0,0,0,0,999.0,APPROVE
SUBSTITUTED_RETURN_CLAIM,220.11,False,0,0,1423.84,898,0,0,0,0,999.0,REQUEST_EVIDENCE
WRONG_ITEM_CLAIM,2163.96,True,1,0,2056.77,322,0,0,0,0,999.0,APPROVE
NON_DELIVERY_CLAIM,4980.9,True,1,0,1817.86,1344,0,0,0,0,999.0,APPROVE
NON_DELIVERY_CLAIM,1751.4,False,0,1,1477.27,1327,0,0,0,0,999.0,REQUEST_EVIDENCE
NON_DELIVERY_CLAIM,481.38,False,0,0,939.81,724,0,0,0,0,999.0,REQUEST_EVIDENCE
SUBSTITUTED_RETURN_CLAIM,2224.59,True,1,0,827.89,809,0,0,0,0,999.0,APPROVE
NON_DELIVERY_CLAIM,3917.36,True,1,1,1218.63,1289,0,0,0,0,999.0,APPROVE
NON_DELIVERY_CLAIM,2125.54,True,1,0,1630.29,1217,0,0,0,0,999.0,APPROVE
SUBSTITUTED_RETURN_CLAIM,1121.98,True,1,1,1221.02,1025,0,0,0,0,999.0,APPROVE
SUBSTITUTED_RETURN_CLAIM,1684.36,False,0,1,2648.8,950,0,0,0,0,999.0,REQUEST_EVIDENCE
SHORTAGE_CLAIM,447.11,False,0,0,2915.57,785,0,0,0,0,999.0,DENY
SHORTAGE_CLAIM,4552.41,True,1,1,1238.84,400,0,0,0,0,999.0,APPROVE
SHORTAGE_CLAIM,454.18,False,0,1,416.38,1493,1,0,1,0,1.6833336716666667,REQUEST_EVIDENCE
SUBSTITUTED_RETURN_CLAIM,5761.62,True,1,0,1747.11,1494,0,0,0,0,999.0,ESCALATE
NON_DELIVERY_CLAIM,525.37,False,0,2,7640.85,706,0,0,0,0,999.0,REQUEST_EVIDENCE
WRONG_ITEM_CLAIM,2160.43,False,0,3,6265.87,429,0,0,0,0,999.0,REQUEST_EVIDENCE
SHORTAGE_CLAIM,4991.97,True,1,2,2311.1,300,0,0,0,0,999.0,APPROVE
NON_DELIVERY_CLAIM,1234.23,True,1,0,1593.19,218,0,0,0,0,999.0,APPROVE
SHORTAGE_CLAIM,2228.27,False,0,0,2147.01,261,0,0,0,0,999.0,DENY
WRONG_ITEM_CLAIM,2274.77,False,0,2,1549.51,813,0,0,0,0,999.0,REQUEST_EVIDENCE
WRONG_ITEM_CLAIM,2095.04,True,1,0,1015.1,929,0,0,0,0,999.0,APPROVE
SUBSTITUTED_RETURN_CLAIM,2199.73,True,1,0,1235.28,951,0,0,0,0,999.0,APPROVE
SUBSTITUTED_RETURN_CLAIM,3030.38,True,1,0,2900.37,1483,0,0,0,0,999.0,APPROVE
NON_DELIVERY_CLAIM,547.5,False,0,0,1267.61,782,0,0,0,0,999.0,REQUEST_EVIDENCE
SHORTAGE_CLAIM,3588.5,True,1,1,1327.74,908,0,0,0,0,999.0,APPROVE
WRONG_ITEM_CLAIM,1678.75,True,1,2,2234.81,1456,0,0,0,0,999.0,APPROVE
SUBSTITUTED_RETURN_CLAIM,1908.35,True,1,0,2198.02,550,0,0,0,0,999.0,APPROVE
WRONG_ITEM_CLAIM,1911.65,True,1,0,2022.48,906,0,0,0,0,999.0,APPROVE
SHORTAGE_CLAIM,5276.82,True,1,0,2471.69,834,0,0,0,0,999.0,ESCALATE
SUBSTITUTED_RETURN_CLAIM,733.49,False,0,0,113.18,210,0,0,0,0,999.0,REQUEST_EVIDENCE
SUBSTITUTED_RETURN_CLAIM,371.86,True,1,4,4223.44,239,0,0,0,0,999.0,APPROVE
SUBSTITUTED_RETURN_CLAIM,8117.1,False,0,2,1391.28,215,0,0,0,0,999.0,REQUEST_EVIDENCE
WRONG_ITEM_CLAIM,1938.12,True,1,0,2648.34,413,0,0,0,0,999.0,APPROVE
WRONG_ITEM_CLAIM,4065.2,False,0,0,2541.52,133,0,0,0,0,999.0,REQUEST_EVIDENCE
SHORTAGE_CLAIM,2023.23,False,0,3,4172.98,324,0,0,0,0,999.0,DENY
WRONG_ITEM_CLAIM,4190.82,True,1,0,1915.56,691,0,0,0,0,999.0,APPROVE
SUBSTITUTED_RETURN_CLAIM,6103.1,False,0,1,1077.78,1293,1,0,1,0,2.2333337827777777,REQUEST_EVIDENCE
WRONG_ITEM_CLAIM,2220.3,False,0,1,4455.06,581,0,0,0,0,999.0,REQUEST_EVIDENCE
NON_DELIVERY_CLAIM,5010.51,True,1,0,2579.12,1380,0,0,0,0,999.0,ESCALATE
NON_DELIVERY_CLAIM,2337.48,True,1,0,2543.08,1215,0,0,0,0,999.0,APPROVE
SUBSTITUTED_RETURN_CLAIM,1725.59,True,1,0,2817.46,452,0,0,0,0,999.0,APPROVE
SUBSTITUTED_RETURN_CLAIM,1440.09,False,0,3,4172.98,324,1,0,0,0,0.11666668916666667,REQUEST_EVIDENCE
SUBSTITUTED_RETURN_CLAIM,1271.03,True,1,1,1221.02,1025,1,1,0,0,0.5666667775,APPROVE
SUBSTITUTED_RETURN_CLAIM,1699.74,False,0,1,1539.71,289,0,0,0,0,999.0,REQUEST_EVIDENCE
WRONG_ITEM_CLAIM,1953.96,True,1,0,68.24,1301,0,0,0,0,999.0,APPROVE
SUBSTITUTED_RETURN_CLAIM,1126.2,True,1,2,2257.05,1487,0,0,0,0,999.0,APPROVE
SUBSTITUTED_RETURN_CLAIM,2047.73,True,1,0,2234.12,962,0,0,0,0,999.0,APPROVE
SUBSTITUTED_RETURN_CLAIM,4273.65,True,1,1,278.85,49,0,0,0,0,999.0,APPROVE
SUBSTITUTED_RETURN_CLAIM,161.45,False,0,1,1950.93,1366,0,0,0,0,999.0,REQUEST_EVIDENCE
WRONG_ITEM_CLAIM,2196.22,False,0,4,7019.74,1279,1,0,1,0,1.2833335877777778,REQUEST_EVIDENCE
SUBSTITUTED_RETURN_CLAIM,2918.0,False,0,0,501.14,257,0,0,0,0,999.0,REQUEST_EVIDENCE
SHORTAGE_CLAIM,1858.46,True,1,0,1792.18,195,0,0,0,0,999.0,DENY
SUBSTITUTED_RETURN_CLAIM,5012.37,False,0,0,2168.65,538,0,0,0,0,999.0,REQUEST_EVIDENCE
SHORTAGE_CLAIM,1394.6,False,0,0,1659.93,446,0,0,0,0,999.0,DENY
WRONG_ITEM_CLAIM,3616.55,True,1,0,180.33,1453,0,0,0,0,999.0,APPROVE
SHORTAGE_CLAIM,1909.65,False,0,4,2730.14,542,0,0,0,0,999.0,DENY
NON_DELIVERY_CLAIM,2492.06,True,1,0,1990.84,546,0,0,0,0,999.0,APPROVE
SUBSTITUTED_RETURN_CLAIM,1699.22,True,1,0,1619.84,904,0,0,0,0,999.0,APPROVE
SHORTAGE_CLAIM,3855.91,True,1,1,2967.82,857,0,0,0,0,999.0,APPROVE
NON_DELIVERY_CLAIM,4891.93,True,1,0,334.65,187,0,0,0,0,999.0,APPROVE
SHORTAGE_CLAIM,4091.42,True,1,1,604.39,145,0,0,0,0,999.0,DENY
NON_DELIVERY_CLAIM,1206.66,True,1,0,1747.11,1494,1,0,0,1,0.8000001572222223,APPROVE
SHORTAGE_CLAIM,375.03,True,1,0,1129.01,1137,0,0,0,0,999.0,APPROVE
NON_DELIVERY_CLAIM,4729.6,True,1,1,664.1,251,0,0,0,0,999.0,APPROVE
SUBSTITUTED_RETURN_CLAIM,1451.59,True,1,1,2986.42,640,1,1,0,0,1.766667017222222,APPROVE
NON_DELIVERY_CLAIM,4229.09,True,1,1,1842.87,1477,0,0,0,0,999.0,APPROVE
NON_DELIVERY_CLAIM,2394.82,False,0,0,1866.94,304,0,0,0,0,999.0,REQUEST_EVIDENCE
SUBSTITUTED_RETURN_CLAIM,2506.47,True,1,1,1064.87,390,0,0,0,0,999.0,APPROVE
SHORTAGE_CLAIM,5457.51,True,1,0,1630.29,1217,1,1,0,0,1.016666866388889,ESCALATE
NON_DELIVERY_CLAIM,2051.3,True,1,1,359.93,425,0,0,0,0,999.0,APPROVE
NON_DELIVERY_CLAIM,488.48,False,0,0,1715.77,542,1,0,1,0,1.766667017222222,REQUEST_EVIDENCE
NON_DELIVERY_CLAIM,5188.32,False,0,0,499.09,1021,0,0,0,0,999.0,REQUEST_EVIDENCE
NON_DELIVERY_CLAIM,725.49,False,0,0,1420.26,1380,0,0,0,0,999.0,REQUEST_EVIDENCE
SUBSTITUTED_RETURN_CLAIM,3978.02,True,1,0,1106.94,827,0,0,0,0,999.0,APPROVE
SUBSTITUTED_RETURN_CLAIM,1135.28,True,1,0,2987.88,692,0,0,0,0,999.0,APPROVE
SHORTAGE_CLAIM,1717.27,True,1,1,2939.55,1211,1,0,1,0,2.3000004577777777,APPROVE
NON_DELIVERY_CLAIM,4906.55,True,1,2,1281.33,1208,0,0,0,0,999.0,APPROVE
SHORTAGE_CLAIM,1813.85,False,0,0,577.64,241,0,0,0,0,999.0,DENY
SHORTAGE_CLAIM,3074.89,False,0,0,1325.65,1218,0,0,0,0,999.0,REQUEST_EVIDENCE
NON_DELIVERY_CLAIM,2033.54,False,0,1,3875.66,793,1,1,0,0,1.8666670358333333,REQUEST_EVIDENCE
WRONG_ITEM_CLAIM,2657.7,False,0,0,1662.95,146,1,0,0,0,1.4666669547222222,REQUEST_EVIDENCE
NON_DELIVERY_CLAIM,2037.42,True,1,1,1507.92,1297,0,0,0,0,999.0,APPROVE
SHORTAGE_CLAIM,745.84,True,1,2,3613.14,287,0,0,0,0,999.0,DENY
NON_DELIVERY_CLAIM,244.51,False,0,2,2717.01,68,0,0,0,0,999.0,REQUEST_EVIDENCE
SHORTAGE_CLAIM,2433.61,True,1,0,2971.85,1093,0,0,0,0,999.0,APPROVE
SHORTAGE_CLAIM,3908.53,False,0,0,2817.42,535,0,0,0,0,999.0,REQUEST_EVIDENCE
SUBSTITUTED_RETURN_CLAIM,270.99,True,1,0,2914.88,611,0,0,0,0,999.0,APPROVE
SUBSTITUTED_RETURN_CLAIM,1305.43,True,1,0,1297.52,1225,1,0,1,0,3.2666673227777774,APPROVE
NON_DELIVERY_CLAIM,1369.13,False,0,0,1990.84,546,1,1,0,0,0.5333334383333334,REQUEST_EVIDENCE
SUBSTITUTED_RETURN_CLAIM,3967.58,True,1,1,604.39,145,1,0,0,0,0.4833334286111111,APPROVE
SUBSTITUTED_RETURN_CLAIM,1839.62,False,0,1,927.0,669,1,1,0,0,2.516667166111111,REQUEST_EVIDENCE
WRONG_ITEM_CLAIM,4036.8,False,0,1,2967.82,857,1,1,0,0,0.5500001083333333,REQUEST_EVIDENCE
SUBSTITUTED_RETURN_CLAIM,5262.8,False,0,1,1194.39,1018,0,0,0,0,999.0,REQUEST_EVIDENCE
NON_DELIVERY_CLAIM,1874.3,False,0,1,1445.22,1386,0,0,0,0,999.0,REQUEST_EVIDENCE
SHORTAGE_CLAIM,4175.68,False,0,0,2542.0,1396,0,0,0,0,999.0,REQUEST_EVIDENCE
NON_DELIVERY_CLAIM,3330.89,True,1,0,25.26,1435,0,0,0,0,999.0,APPROVE
SUBSTITUTED_RETURN_CLAIM,2373.61,True,1,0,2022.48,906,1,1,0,0,1.1500002247222223,APPROVE
NON_DELIVERY_CLAIM,1260.18,False,0,1,2637.72,942,0,0,0,0,999.0,REQUEST_EVIDENCE
WRONG_ITEM_CLAIM,2624.46,False,0,0,793.19,814,1,1,0,0,3.4166673508333334,REQUEST_EVIDENCE
NON_DELIVERY_CLAIM,2027.27,True,1,0,1297.52,1225,2,1,1,0,0.2000000386111111,APPROVE
SUBSTITUTED_RETURN_CLAIM,7184.29,False,0,0,380.46,376,0,0,0,0,999.0,REQUEST_EVIDENCE
SHORTAGE_CLAIM,1787.09,True,1,0,1879.39,512,1,1,0,0,3.416667349444445,APPROVE
NON_DELIVERY_CLAIM,988.89,False,0,0,1567.0,236,0,0,0,0,999.0,REQUEST_EVIDENCE
SHORTAGE_CLAIM,1155.24,False,0,0,2417.82,62,0,0,0,0,999.0,DENY
WRONG_ITEM_CLAIM,730.32,True,1,0,2198.82,1331,0,0,0,0,999.0,APPROVE
NON_DELIVERY_CLAIM,2276.84,False,0,0,565.44,1145,0,0,0,0,999.0,REQUEST_EVIDENCE
WRONG_ITEM_CLAIM,2736.69,False,0,1,2491.35,423,0,0,0,0,999.0,REQUEST_EVIDENCE
NON_DELIVERY_CLAIM,5725.43,True,1,0,1491.82,858,0,0,0,0,999.0,ESCALATE
SUBSTITUTED_RETURN_CLAIM,1715.57,False,0,0,2814.27,1004,0,0,0,0,999.0,REQUEST_EVIDENCE
SHORTAGE_CLAIM,2178.22,True,1,1,2608.25,1173,1,0,1,0,2.583333842777778,DENY
NON_DELIVERY_CLAIM,594.98,False,0,2,2248.0,883,0,0,0,0,999.0,REQUEST_EVIDENCE
NON_DELIVERY_CLAIM,1756.81,True,1,1,5603.62,1156,0,0,0,0,999.0,APPROVE
SHORTAGE_CLAIM,2537.19,True,1,2,1420.71,1310,0,0,0,0,999.0,DENY
SUBSTITUTED_RETURN_CLAIM,4143.13,True,1,1,5324.85,503,0,0,0,0,999.0,APPROVE
SHORTAGE_CLAIM,5004.49,False,0,0,1015.1,929,1,1,0,0,1.5666669738888888,REQUEST_EVIDENCE
SUBSTITUTED_RETURN_CLAIM,1504.16,True,1,0,2067.07,653,0,0,0,0,999.0,APPROVE
SUBSTITUTED_RETURN_CLAIM,4221.6,False,0,2,1420.71,1310,1,0,0,0,0.06666667916666667,REQUEST_EVIDENCE
SUBSTITUTED_RETURN_CLAIM,1588.13,False,0,0,2217.55,1422,0,0,0,0,999.0,REQUEST_EVIDENCE
SUBSTITUTED_RETURN_CLAIM,630.75,True,1,0,2225.08,518,0,0,0,0,999.0,APPROVE
WRONG_ITEM_CLAIM,2279.12,False,0,0,435.46,259,0,0,0,0,999.0,REQUEST_EVIDENCE
WRONG_ITEM_CLAIM,1851.1,False,0,4,4440.12,1439,0,0,0,0,999.0,REQUEST_EVIDENCE
WRONG_ITEM_CLAIM,1697.27,False,0,2,943.51,207,0,0,0,0,999.0,REQUEST_EVIDENCE
WRONG_ITEM_CLAIM,3022.48,True,1,0,501.14,257,1,0,1,0,1.2000002352777779,APPROVE
NON_DELIVERY_CLAIM,1650.96,False,0,1,853.31,1067,0,0,0,0,999.0,REQUEST_EVIDENCE
NON_DELIVERY_CLAIM,2091.42,True,1,1,2648.8,950,1,0,1,0,1.9166670416666665,APPROVE
NON_DELIVERY_CLAIM,5523.49,False,0,2,910.04,272,0,0,0,0,999.0,REQUEST_EVIDENCE
SHORTAGE_CLAIM,1625.7,True,1,1,1650.48,344,0,0,0,0,999.0,APPROVE
SUBSTITUTED_RETURN_CLAIM,6384.62,True,1,0,973.54,436,0,0,0,0,999.0,ESCALATE
